scope,calibration_mode,event_state,coverage_level,count,MAE_q0.5,PICP,coverage_error,abs_coverage_error,MPIW,WIS,rank_wis_within_scope,rank_coverage_error_within_scope,mode_label,mode_order
event_state,global,event,0.9,71400,0.7945942092716892,0.098235294117647,-0.8017647058823529,0.8017647058823529,0.0002034645466034,15.88857034981856,4.0,4.0,全局校准,0
event_state,event_state_grouped,event,0.9,71400,0.7945942092716892,0.8876890756302521,-0.0123109243697479,0.0123109243697479,3.9467678938962583,6.835812787343161,3.0,3.0,事件状态分组,1
event_state,adaptive_grouped,event,0.9,71400,0.7945942092716892,0.8878571428571429,-0.0121428571428571,0.0121428571428571,3.9279683465919657,6.805428367928192,2.0,2.0,自适应分组,2
event_state,adaptive_event_state_grouped_conservative,event,0.9,71400,0.7945942092716892,0.9096498599439776,0.0096498599439776,0.0096498599439776,4.236978991562787,6.559569192139187,1.0,1.0,保守自适应分组,3
event_state,global,stable,0.9,11682540,0.0166597615106126,0.8767557397620723,-0.0232442602379276,0.0232442602379276,0.0001724125137451,0.3319301825792586,3.0,2.0,全局校准,0
event_state,event_state_grouped,stable,0.9,11682540,0.0166597615106126,0.8754591895255655,-0.0245408104744345,0.0245408104744345,0.0001713119797947,0.3319316670571908,4.0,4.0,事件状态分组,1
event_state,adaptive_grouped,stable,0.9,11682540,0.0166597615106126,0.8761125577143327,-0.0238874422856673,0.0238874422856673,0.0001733234213425,0.3319270649397277,2.0,3.0,自适应分组,2
event_state,adaptive_event_state_grouped_conservative,stable,0.9,11682540,0.0166597615106126,0.8980973315734421,-0.0019026684265579,0.0019026684265579,0.0001973344580694,0.3318988114024512,1.0,1.0,保守自适应分组,3
